Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
318,Shri Sadashiv Kisan Lokhande,Shirdi,Maharashtra,16 ,17-06-2019,06-08-2019
309,Shri Krupal Balaji Tumane,Ramtek,Maharashtra,36 ,17-06-2019,06-08-2019
341,Shri Sanjay Haribhau Jadhav,Parbhani,Maharashtra,12 ,17-06-2019,06-08-2019
313,Shri Chavda Vinod Lakhamshi,Kachchh,Gujarat,34 ,17-06-2019,06-08-2019
32,Shri Sanganna Amarappa Karadi,Koppal,Karnataka,30 ,17-06-2019,06-08-2019
136,Shri Rameswar Teli,Dibrugarh,Assam,36 ,17-06-2019,06-08-2019
98,Shri Ashok Mahadeorao Nete,Gadchiroli-Chimur,Maharashtra,31 ,17-06-2019,06-08-2019
306,Shri Sunil Kumar Singh,Chatra,Jharkhand,37 ,17-06-2019,06-08-2019
89,Smt. Poonamben Hematbhai Maadam,Jamnagar,Gujarat,36 ,17-06-2019,06-08-2019
236,Shri Lallu Singh,Faizabad,Uttar Pradesh,35 ,17-06-2019,06-08-2019
316,Shri Arjunlal Meena,Udaipur,Rajasthan,35 ,17-06-2019,06-08-2019
369,Shri Bheemrao Baswanthrao Patil,Zahirabad,Telangana,29 ,17-06-2019,06-08-2019
87,Shri Parbhubhai Nagarbhai Vasava,Bardoli,Gujarat,36 ,17-06-2019,06-08-2019
93,Shri Parvesh Sahib Singh,West Delhi,NCT of Delhi,37 ,17-06-2019,06-08-2019
62,Shri Ram Swaroop Sharma,Mandi,Himachal Pradesh,36 ,17-06-2019,06-08-2019
289,Shri Vinayak Bhaurao Raut,Ratnagiri-Sindhudurg,Maharashtra,35 ,17-06-2019,06-08-2019
45,Shri Jayant Sinha,Hazaribagh,Jharkhand,37 ,17-06-2019,06-08-2019
319,Shri Jayadev Galla,Guntur,Andhra Pradesh,36 ,17-06-2019,06-08-2019
311,Shri Kinjarapu Rammohan Naidu,Srikakulam,Andhra Pradesh,35 ,17-06-2019,06-08-2019
426,Shri Naba (Hira) Kumar Sarania,Kokrajhar,Assam,33 ,17-06-2019,06-08-2019
90,Smt. Kirron Kher,Chandigarh,Chandigarh,36 ,17-06-2019,06-08-2019
203,Dr.  Harsh Vardhan,Chandni Chowk,NCT of Delhi,1 ,17-06-2019,06-08-2019
283,Shri Chirag Paswan,Hajipur,Bihar,26 ,17-06-2019,06-08-2019
301,Shri Shrirang Appa Chandu Barne,Maval,Maharashtra,36 ,17-06-2019,06-08-2019
53,Col. Rajyavardhan Singh Rathore,Jaipur Rural,Rajasthan,34 ,17-06-2019,06-08-2019
497,Shri Santokh Singh Chaudhary,Jalandhar,Punjab,37 ,17-06-2019,06-08-2019
464,Shri Faizal P.P. Mohammed,Lakshadweep,Lakshadweep,25 ,17-06-2019,06-08-2019
153,Dr. Heena Vijaykumar Gavit,Nandurbar,Maharashtra,33 ,17-06-2019,06-08-2019
503,Shri Gaurav Gogoi,Jorhat,Assam,30 ,17-06-2019,06-08-2019
371,Shri Santosh Kumar,Purnia,Bihar,28 ,17-06-2019,06-08-2019
210,Shri S.S. Ahluwalia,Bardhaman-Durgapur,West Bengal,36 ,17-06-2019,06-08-2019
406,Shri Y S Avinash Reddy,Kadapa,Andhra Pradesh,17 ,17-06-2019,06-08-2019
164,Dr. K. C. Patel,Valsad,Gujarat,34 ,17-06-2019,06-08-2019
436,Shri Abhishek Banerjee,Diamond Harbour,West Bengal,6 ,17-06-2019,06-08-2019
452,Smt. Aparupa Poddar,Arambagh,West Bengal,35 ,17-06-2019,06-08-2019
460,Shri Adhikari Deepak Dev,Ghatal,West Bengal,6 ,17-06-2019,06-08-2019
38,Shri Ramesh Bidhuri,South Delhi,NCT of Delhi,36 ,17-06-2019,06-08-2019
232,Shri Jaswantsinh Sumanbhai Bhabhor,Dahod,Gujarat,37 ,17-06-2019,06-08-2019
26,Shri Devusinh Chauhan,Kheda,Gujarat,35 ,17-06-2019,06-08-2019
165,Shri Chudasama Rajeshbhai Naranbhai,Junagadh,Gujarat,18 ,17-06-2019,06-08-2019
449,Shri Vijay Kumar Hansdak,Rajmahal,Jharkhand,27 ,17-06-2019,06-08-2019
418,Shri Sunil Kumar Mondal,Bardhaman Purba,West Bengal,35 ,17-06-2019,06-08-2019
458,Smt. Pratima Mondal,Jaynagar,West Bengal,27 ,17-06-2019,06-08-2019
241,Shri Saumitra Khan,Bishnupur,West Bengal,33 ,17-06-2019,06-08-2019
239,Shri Ravindra Kushawaha,Salempur,Uttar Pradesh,37 ,17-06-2019,06-08-2019
278,"Shewale, Shri Rahul Ramesh",Mumbai South-Central,Maharashtra,35 ,17-06-2019,06-08-2019
297,Shri Ramdas Chandrabhanji Tadas,Wardha,Maharashtra,33 ,17-06-2019,06-08-2019
60,Dr. Mahendra Nath Pandey,Chandauli,Uttar Pradesh,1 ,17-06-2019,06-08-2019
151,Smt. Rekha Arun Verma,Dhaurahra,Uttar Pradesh,36 ,17-06-2019,06-08-2019
20,Dr. Sanjeev Kumar Balyan,Muzaffarnagar,Uttar Pradesh,1 ,17-06-2019,06-08-2019
295,Shri Gajanan Chandrakant Kirtikar,Mumbai-North-West,Maharashtra,29 ,17-06-2019,06-08-2019
363,Shri Kotha Prabhakar Reddy,Medak,Telangana,21 ,17-06-2019,06-08-2019
91,Smt. Ranjanben Dhananjay Bhatt,Vadodara,Gujarat,34 ,17-06-2019,06-08-2019
152,Dr. Pritam Gopinath Rao Munde,Beed,Maharashtra,32 ,17-06-2019,06-08-2019
391,Shri Dayakar Pasunoori,Warangal,Telangana,24 ,17-06-2019,06-08-2019
230,Shri Pradan Baruah,Lakhimpur,Assam,33 ,17-06-2019,06-08-2019
430,Shri Dibyendu Adhikari,Tamluk,West Bengal,23 ,17-06-2019,06-08-2019
524,Shri Gurjeet Singh Aujla,Amritsar,Punjab,35 ,17-06-2019,06-08-2019
463,Shri Kunhalikutty P.K.,Malappuram,Kerala,28 ,17-06-2019,06-08-2019
451,Smt. Sajda Ahmed,Uluberia,West Bengal,23 ,17-06-2019,06-08-2019
197,Shri Praveen Kumar Nishad,Sant Kabir Nagar,Uttar Pradesh,33 ,17-06-2019,06-08-2019
310,Shri Rajendra Dhedya Gavit,Palghar,Maharashtra,29 ,17-06-2019,06-08-2019
288,Shri Tokheho Yepthomi,Nagaland,Nagaland,34 ,17-06-2019,06-08-2019
533,Shri H. Vasanthakumar,Kanniyakumari,Tamil Nadu,33 ,17-06-2019,06-08-2019
480,Shri S. Gnanathiraviam,Tirunelveli,Tamil Nadu,32 ,17-06-2019,06-08-2019
537,Dr. K. Jayakumar,Tiruvallur,Tamil Nadu,35 ,17-06-2019,06-08-2019
479,Shri Dhanush M Kumar,Tenkasi,Tamil Nadu,37 ,17-06-2019,06-08-2019
512,Dr. Kalanidhi Veeraswamy,Chennai North,Tamil Nadu,25 ,17-06-2019,06-08-2019
500,Smt. Kanimozhi Karunanidhi,Thoothukkudi,Tamil Nadu,35 ,17-06-2019,06-08-2019
465,Dr. T Sumathy Alias Thamizhachi Thangapandian,Chennai South,Tamil Nadu,35 ,17-06-2019,06-08-2019
532,Shri Navaskani K,Ramanathapuram,Tamil Nadu,27 ,17-06-2019,06-08-2019
494,Shri Selvam G,Kancheepuram,Tamil Nadu,30 ,17-06-2019,06-08-2019
294,Shri P. Ravindhranath,Theni,Tamil Nadu,35 ,17-06-2019,06-08-2019
454,Shri S Venkatesan,Madurai,Tamil Nadu,27 ,17-06-2019,06-08-2019
531,Dr. A. Chellakumar,Krishnagiri,Tamil Nadu,26 ,17-06-2019,06-08-2019
542,Shri Karti P Chidambaram,Sivaganga,Tamil Nadu,30 ,17-06-2019,06-08-2019
457,"DNV Senthilkumar S, Dr.",Dharmapuri,Tamil Nadu,37 ,17-06-2019,06-08-2019
493,Shri C N Annadurai,Tiruvannamalai,Tamil Nadu,25 ,17-06-2019,06-08-2019
551,Shri T.R.V.S. Ramesh,Cuddalore,Tamil Nadu,32 ,17-06-2019,06-08-2019
