Division No.,Member Name,Constiituency,State,No of Days Member signed the register
305,Shri Vishnu Dayal Ram,Palamu,Jharkhand,8 
318,Shri Sadashiv Kisan Lokhande,Shirdi,Maharashtra,14 
309,Shri Krupal Balaji Tumane,Ramtek,Maharashtra,17 
341,Shri Sanjay Haribhau Jadhav,Parbhani,Maharashtra,15 
313,Shri Chavda Vinod Lakhamshi,Kachchh,Gujarat,18 
32,Shri Sanganna Amarappa Karadi,Koppal,Karnataka,10 
136,Shri Rameswar Teli,Dibrugarh,Assam,17 
98,Shri Ashok Mahadeorao Nete,Gadchiroli-Chimur,Maharashtra,19 
306,Shri Sunil Kumar Singh,Chatra,Jharkhand,5 
89,Smt. Poonamben Hematbhai Maadam,Jamnagar,Gujarat,18 
236,Shri Lallu Singh,Faizabad,Uttar Pradesh,20 
316,Shri Arjunlal Meena,Udaipur,Rajasthan,20 
369,Shri Bheemrao Baswanthrao Patil,Zahirabad,Telangana,20 
87,Shri Parbhubhai Nagarbhai Vasava,Bardoli,Gujarat,15 
93,Shri Parvesh Sahib Singh,West Delhi,NCT of Delhi,19 
62,Shri Ram Swaroop Sharma,Mandi,Himachal Pradesh,19 
289,Shri Vinayak Bhaurao Raut,Ratnagiri-Sindhudurg,Maharashtra,15 
45,Shri Jayant Sinha,Hazaribagh,Jharkhand,4 
319,Shri Jayadev Galla,Guntur,Andhra Pradesh,18 
311,Shri Kinjarapu Rammohan Naidu,Srikakulam,Andhra Pradesh,17 
426,Shri Naba (Hira) Kumar Sarania,Kokrajhar,Assam,19 
90,Smt. Kirron Kher,Chandigarh,Chandigarh,19 
283,Shri Chirag Paswan,Hajipur,Bihar,15 
301,Shri Shrirang Appa Chandu Barne,Maval,Maharashtra,19 
53,Col. Rajyavardhan Singh Rathore,Jaipur Rural,Rajasthan,14 
497,Shri Santokh Singh Chaudhary,Jalandhar,Punjab,18 
464,Shri Faizal P.P. Mohammed,Lakshadweep,Lakshadweep,11 
153,Dr. Heena Vijaykumar Gavit,Nandurbar,Maharashtra,16 
503,Shri Gaurav Gogoi,Jorhat,Assam,15 
371,Shri Santosh Kumar,Purnia,Bihar,17 
210,Shri S.S. Ahluwalia,Bardhaman-Durgapur,West Bengal,14 
406,Shri Y S Avinash Reddy,Kadapa,Andhra Pradesh,11 
164,Dr. K. C. Patel,Valsad,Gujarat,18 
436,Shri Abhishek Banerjee,Diamond Harbour,West Bengal,1 
452,Smt. Aparupa Poddar,Arambagh,West Bengal,18 
460,Shri Adhikari Deepak Dev,Ghatal,West Bengal,3 
38,Shri Ramesh Bidhuri,South Delhi,NCT of Delhi,18 
232,Shri Jaswantsinh Sumanbhai Bhabhor,Dahod,Gujarat,17 
26,Shri Devusinh Chauhan,Kheda,Gujarat,15 
165,Shri Chudasama Rajeshbhai Naranbhai,Junagadh,Gujarat,20 
418,Shri Sunil Kumar Mondal,Bardhaman Purba,West Bengal,20 
458,Smt. Pratima Mondal,Jaynagar,West Bengal,20 
241,Shri Saumitra Khan,Bishnupur,West Bengal,19 
239,Shri Ravindra Kushawaha,Salempur,Uttar Pradesh,19 
278,"Shewale, Shri Rahul Ramesh",Mumbai South-Central,Maharashtra,18 
297,Shri Ramdas Chandrabhanji Tadas,Wardha,Maharashtra,18 
151,Smt. Rekha Arun Verma,Dhaurahra,Uttar Pradesh,19 
295,Shri Gajanan Chandrakant Kirtikar,Mumbai-North-West,Maharashtra,14 
363,Shri Kotha Prabhakar Reddy,Medak,Telangana,14 
91,Smt. Ranjanben Dhananjay Bhatt,Vadodara,Gujarat,15 
152,Dr. Pritam Gopinath Rao Munde,Beed,Maharashtra,16 
391,Shri Dayakar Pasunoori,Warangal,Telangana,17 
230,Shri Pradan Baruah,Lakhimpur,Assam,18 
430,Shri Dibyendu Adhikari,Tamluk,West Bengal,7 
524,Shri Gurjeet Singh Aujla,Amritsar,Punjab,18 
463,Shri Kunhalikutty P.K.,Malappuram,Kerala,15 
451,Smt. Sajda Ahmed,Uluberia,West Bengal,14 
